date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:03:10	40696/40696	---M-Z	200	added ('OK')	text/html	etag:%22b9418bd483df0db65da2f7fdfda4c3a4%22	https://www.branah.com/bashkir	C:/My%20Web%20Sites/assamese_keyboard/www.branah.com/bashkir.html	(from https://www.branah.com/)
20:03:11	40882/40882	---M-Z	200	added ('OK')	text/html	etag:%229987d5d8ff02b38c7d02b1d63c1521c6%22	https://www.branah.com/belarusian	C:/My%20Web%20Sites/assamese_keyboard/www.branah.com/belarusian.html	(from https://www.branah.com/)
20:03:11	41191/41191	---M-Z	200	added ('OK')	text/html	etag:%22d1377a6641e4a64c8aaf5a5d5b15d920%22	https://www.branah.com/bhutanese	C:/My%20Web%20Sites/assamese_keyboard/www.branah.com/bhutanese.html	(from https://www.branah.com/)
20:03:12	44738/44738	---M-Z	200	added ('OK')	text/html	etag:%223cd40e650bcf0dcd9b6bb2a5eb5731bd%22	https://www.branah.com/bosnian	C:/My%20Web%20Sites/assamese_keyboard/www.branah.com/bosnian.html	(from https://www.branah.com/)
20:03:12	40475/40475	---M-Z	200	added ('OK')	text/html	etag:%2249165ecd58bd067a5f24fd7edda99fd7%22	https://www.branah.com/buginese	C:/My%20Web%20Sites/assamese_keyboard/www.branah.com/buginese.html	(from https://www.branah.com/)
20:03:13	42851/42851	---M-Z	200	added ('OK')	text/html	etag:%224eb900bc319723b95eedaad5995a40f9%22	https://www.branah.com/bulgarian	C:/My%20Web%20Sites/assamese_keyboard/www.branah.com/bulgarian.html	(from https://www.branah.com/)
20:03:13	47556/47556	---M-Z	200	added ('OK')	text/html	etag:%22f3d458bb5973f899be45962b969e40d8%22	https://www.branah.com/cantonese	C:/My%20Web%20Sites/assamese_keyboard/www.branah.com/cantonese.html	(from https://www.branah.com/)
20:03:14	43820/43820	---M-Z	200	added ('OK')	text/html	etag:%22b5bf1c98629852e661560c572d438974%22	https://www.branah.com/cherokee	C:/My%20Web%20Sites/assamese_keyboard/www.branah.com/cherokee.html	(from https://www.branah.com/)
20:03:14	53573/53573	---M-Z	200	added ('OK')	text/html	etag:%22e872b6b4ca59536a5668959d230ed0da%22	https://www.branah.com/chinese	C:/My%20Web%20Sites/assamese_keyboard/www.branah.com/chinese.html	(from https://www.branah.com/)
20:03:14	40920/40920	---M-Z	200	added ('OK')	text/html	etag:%22ce7ff82b3f2e1ab466dda90d54fd4d74%22	https://www.branah.com/coptic	C:/My%20Web%20Sites/assamese_keyboard/www.branah.com/coptic.html	(from https://www.branah.com/)
20:03:15	43024/43024	---M-Z	200	added ('OK')	text/html	etag:%222d5fd3c412aa6106c24b98e730d98edc%22	https://www.branah.com/croatian	C:/My%20Web%20Sites/assamese_keyboard/www.branah.com/croatian.html	(from https://www.branah.com/)
