No.	PS Name	Total Voters	ZPC Ballot	Total ZPC Ballots	AP Ballot	Total AP Ballots	Ward Ballot	Total Ward Ballots	Total Ballots
251	8 - AMLAKHI BAGISHA L.P.SCHOOL (PUB)	933	Yes	933	No	0	Yes	933	1866
252	8 - DAKHIN BHOMORAGURI LP SCHOOL (PUB)	761	Yes	761	No	0	Yes	761	1522
253	8 - DALGAON MUKTAB LP SCHOOL (KA)	496	No	0	No	0	Yes	496	496
254	8 - RANGALOO LP SCHOOL PURANAGHAR (PUB)	260	No	0	Yes	260	Yes	260	520
255	9 - AMLAKHI BAGISHA L.P.SCHOOL (PACHIM)	324	Yes	324	No	0	Yes	324	648
256	9 - DAKHIN BHAMURAGURI LP SCHOOL (PACHIM)	682	Yes	682	No	0	Yes	682	1364
257	9 - MATHOUKHAT LP SCHOOL	898	No	0	No	0	Yes	898	898
258	9 - RANGALOO LP SCHOOL PURANAGHAR (PACHIM)	427	No	0	Yes	427	No	0	427
									
	Visible Rows Total								380182
